match_id,date,league,season,home_team,away_team,status,sporttery_match_num,sporttery_league_id,sporttery_match_week,sporttery_business_date,data_source,home_close_odds,draw_close_odds,away_close_odds,sporttery_had_updated_at,home_open_odds,draw_open_odds,away_open_odds,odds_move_count,sporttery_hhad_home_close_odds,sporttery_hhad_draw_close_odds,sporttery_hhad_away_close_odds,sporttery_hhad_updated_at,asian_handicap,sporttery_hhad_goal_line,sporttery_hhad_home_open_odds,sporttery_hhad_draw_open_odds,sporttery_hhad_away_open_odds,sporttery_hhad_move_count,home_team_raw,away_team_raw,home_goals,away_goals,home_rank,away_rank,home_points_per_game,away_points_per_game,home_xg,away_xg,home_shots,away_shots,result_label,result_code,hkjc_frontend_id,hkjc_tournament_code,hkjc_tournament_name_ch,hkjc_home_team_ch,hkjc_away_team_ch,hkjc_live_event_code,hkjc_had_updated_at,hkjc_hdc_home_close_odds,hkjc_hdc_away_close_odds,hkjc_hdc_condition,hkjc_hdc_updated_at,hkjc_ttg_updated_at,hkjc_ttg_0_odds,hkjc_ttg_1_odds,hkjc_ttg_2_odds,hkjc_ttg_3_odds,hkjc_ttg_4_odds,hkjc_ttg_5_odds,hkjc_ttg_6_odds,hkjc_ttg_7plus_odds
2038474,2026-03-20 16:35:00,澳大利亚超级联赛,2026,Western Sydney Wanderers,Adelaide United,Selling,周五001,2,周五,2026-03-20,sporttery,1.9,3.92,2.87,2026-03-20 13:59:57,1.74,3.9,3.35,10,3.4,4.1,1.69,2026-03-20 13:10:49,-1.0,-1,3.04,3.8,1.86,7,西悉尼漫步者,阿德莱德联,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038475,2026-03-21 01:30:00,德国乙级联赛,2026,Hannover 96,Eintracht Braunschweig,Selling,周五002,34,周五,2026-03-20,sporttery,1.35,4.4,6.2,2026-03-19 13:50:59,1.35,4.4,6.2,1,2.15,3.55,2.61,2026-03-19 13:50:59,-1.0,-1,2.15,3.55,2.61,1,汉诺威96,不伦瑞克,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038476,2026-03-21 01:30:00,德国乙级联赛,2026,Karlsruher SC,SpVgg Greuther Fürth,Selling,周五003,34,周五,2026-03-20,sporttery,1.85,3.55,3.25,2026-03-19 13:50:59,1.85,3.55,3.25,1,3.55,3.75,1.72,2026-03-19 13:50:59,-1.0,-1,3.55,3.75,1.72,1,卡尔斯鲁厄,菲尔特,,,,,,,,,,,,,FB5862,GD2,德國乙組聯賽,卡爾斯魯厄,格雷特霍夫,BETRADAR,2026-03-19T12:01:07.534+08:00,1.79,2.02,0.0/-0.5,2026-03-19T12:01:07.534+08:00,2026-03-19T12:01:07.534+08:00,15.0,5.7,3.85,3.7,4.4,6.6,11.5,17.0
2038477,2026-03-21 01:30:00,意大利甲级联赛,2026,Cagliari,Napoli,Selling,周五004,40,周五,2026-03-20,sporttery,5.15,3.35,1.57,2026-03-20 12:46:39,5.4,3.45,1.53,3,2.08,3.15,3.03,2026-03-20 12:46:45,1.0,1,2.16,3.1,2.92,3,卡利亚里,那不勒斯,,,,,,,,,,,,,FB5874,ISA,意大利甲組聯賽,卡利亞里,拿玻里,BETRADAR,2026-03-19T12:01:07.534+08:00,1.89,1.93,+0.5/+1.0,2026-03-19T12:01:07.534+08:00,2026-03-19T12:01:07.534+08:00,6.5,3.65,3.15,3.9,6.4,12.5,30.0,40.0
2038480,2026-03-21 03:00:00,法国乙级联赛,2026,Boulogne Sur Mer,Nancy,Selling,周五007,81,周五,2026-03-20,sporttery,2.25,2.95,2.9,2026-03-20 14:08:18,2.19,2.95,3.0,2,5.35,3.7,1.49,2026-03-20 14:08:26,-1.0,-1,5.2,3.65,1.51,2,布洛涅,南锡,,,,,,,,,,,,,FB5865,FF2,法國乙組聯賽,布羅尼,南錫,BETRADAR,2026-03-19T12:01:07.534+08:00,,,,,2026-03-19T12:01:07.534+08:00,7.0,3.8,3.2,3.9,5.9,11.5,28.0,35.0
2038478,2026-03-21 03:00:00,法国乙级联赛,2026,Clermont Foot,Red Star,Selling,周五005,81,周五,2026-03-20,sporttery,2.7,2.95,2.38,2026-03-19 13:50:59,2.7,2.95,2.38,1,1.43,3.85,5.9,2026-03-19 13:50:59,1.0,1,1.43,3.85,5.9,1,克莱蒙,圣旺红星,,,,,,,,,,,,,FB5868,FF2,法國乙組聯賽,克萊蒙特,紅星,BETRADAR,2026-03-19T12:01:07.534+08:00,,,,,2026-03-19T12:01:07.534+08:00,7.0,3.8,3.2,3.9,5.9,11.5,28.0,35.0
2038479,2026-03-21 03:00:00,法国乙级联赛,2026,Pau FC,MHSC,Selling,周五006,81,周五,2026-03-20,sporttery,2.43,3.15,2.5,2026-03-19 13:50:59,2.43,3.15,2.5,1,5.6,4.15,1.41,2026-03-19 13:50:59,-1.0,-1,5.6,4.15,1.41,1,波城FC,蒙彼利埃,,,,,,,,,,,,,FB5864,FF2,法國乙組聯賽,FC波城,蒙彼利埃,BETRADAR,2026-03-19T12:01:07.534+08:00,,,,,2026-03-19T12:01:07.534+08:00,10.0,4.45,3.4,3.75,5.0,8.25,18.0,29.0
2038482,2026-03-21 03:00:00,荷兰乙级联赛,2026,Roda,Helmond,Selling,周五009,80,周五,2026-03-20,sporttery,1.4,4.3,5.5,2026-03-19 13:50:59,1.4,4.3,5.5,1,2.22,3.58,2.5,2026-03-19 13:50:59,-1.0,-1,2.22,3.58,2.5,1,罗达JC,海尔蒙特,,,,,,,,,,,,,FB5879,DF2,荷蘭乙組聯賽,洛達,靴蒙特,,2026-03-19T12:01:07.534+08:00,,,,,2026-03-19T12:01:07.534+08:00,16.0,6.1,3.95,3.65,4.4,6.3,11.0,15.0
2038481,2026-03-21 03:00:00,荷兰甲级联赛,2026,Heracles,Excelsior,Selling,周五008,17,周五,2026-03-20,sporttery,2.34,3.4,2.45,2026-03-19 13:50:59,2.34,3.4,2.45,1,5.0,4.25,1.44,2026-03-19 13:50:59,-1.0,-1,5.0,4.25,1.44,1,赫拉克勒斯,SBV精英,,,,,,,,,,,,,FB5873,DFL,荷蘭甲組聯賽,荷華高斯,精英隊,BETRADAR,2026-03-19T12:01:07.534+08:00,1.84,1.96,0.0,2026-03-19T12:01:07.534+08:00,2026-03-19T12:01:07.534+08:00,11.5,4.9,3.6,3.7,4.8,7.25,15.0,23.0
2038483,2026-03-21 03:30:00,德国甲级联赛,2026,RB Leipzig,TSG Hoffenheim,Selling,周五010,37,周五,2026-03-20,sporttery,1.79,3.95,3.15,2026-03-20 12:22:34,1.71,4.06,3.35,3,3.1,4.0,1.8,2026-03-20 12:22:48,-1.0,-1,2.95,3.95,1.86,3,莱比锡红牛,霍芬海姆,,,,,,,,,,,,,FB5870,GSL,德國甲組聯賽,RB萊比錫,賀芬咸,BETRADAR,2026-03-19T12:01:07.534+08:00,2.08,1.76,-0.5/-1.0,2026-03-19T12:01:07.534+08:00,2026-03-19T12:01:07.534+08:00,24.0,7.5,4.55,3.9,4.05,5.7,8.5,9.5
2038484,2026-03-21 03:45:00,意大利甲级联赛,2026,Genoa,Udinese,Selling,周五011,40,周五,2026-03-20,sporttery,2.0,2.92,3.5,2026-03-19 13:50:59,2.0,2.92,3.5,1,4.6,3.4,1.62,2026-03-19 13:50:59,-1.0,-1,4.6,3.4,1.62,1,热那亚,乌迪内斯,,,,,,,,,,,,,FB5875,ISA,意大利甲組聯賽,熱拿亞,烏甸尼斯,BETRADAR,2026-03-19T12:01:07.534+08:00,1.84,1.98,0.0/-0.5,2026-03-19T12:01:07.534+08:00,2026-03-19T12:01:07.534+08:00,6.2,3.6,3.1,4.0,6.4,13.5,30.0,50.0
2038485,2026-03-21 03:45:00,法国甲级联赛,2026,RC Lens,昂热,Selling,周五012,32,周五,2026-03-20,sporttery,1.14,5.95,12.0,2026-03-20 13:36:00,1.2,5.1,10.0,4,1.62,3.65,4.2,2026-03-20 13:36:07,-1.0,-1,1.75,3.65,3.55,4,朗斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038487,2026-03-21 04:00:00,英格兰冠军联赛,2026,Preston North End,斯托克城,Selling,周五014,20,周五,2026-03-20,sporttery,2.43,3.0,2.6,2026-03-19 13:50:59,2.43,3.0,2.6,1,5.5,4.1,1.42,2026-03-19 13:50:59,-1.0,-1,5.5,4.1,1.42,1,普雷斯顿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038486,2026-03-21 04:00:00,英格兰超级联赛,2026,AFC Bournemouth,Manchester United,Selling,周五013,25,周五,2026-03-20,sporttery,3.07,3.6,1.9,2026-03-19 15:07:04,3.15,3.65,1.86,2,1.7,3.85,3.55,2026-03-19 15:07:10,1.0,1,1.73,3.85,3.45,2,伯恩茅斯,曼彻斯特联,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038488,2026-03-21 04:00:00,西班牙甲级联赛,2026,Villarreal CF,Real Sociedad,Selling,周五015,62,周五,2026-03-20,sporttery,1.78,3.5,3.55,2026-03-20 10:32:41,1.77,3.55,3.55,2,3.35,3.6,1.81,2026-03-19 13:50:59,-1.0,-1,3.35,3.6,1.81,1,比利亚雷亚尔,皇家社会,,,,,,,,,,,,,FB5876,SFL,西班牙甲組聯賽,維拉利爾,皇家蘇斯達,BETRADAR,2026-03-19T12:01:07.534+08:00,2.19,1.69,-0.5/-1.0,2026-03-19T12:01:07.534+08:00,2026-03-19T12:01:07.534+08:00,12.5,5.0,3.55,3.7,4.7,7.25,14.5,22.0
2038489,2026-03-21 04:15:00,葡萄牙超级联赛,2026,阿马多拉,Casa Pia,Selling,周五016,55,周五,2026-03-20,sporttery,2.28,2.98,2.82,2026-03-19 13:50:59,2.28,2.98,2.82,1,5.6,3.7,1.47,2026-03-19 13:50:59,-1.0,-1,5.6,3.7,1.47,1,,卡萨皮亚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038500,2026-03-21 12:00:00,澳大利亚超级联赛,2026,Brisbane Roar,Wellington Phoenix,Selling,周六001,2,周六,2026-03-21,sporttery,1.85,3.4,3.4,2026-03-20 09:35:41,1.85,3.4,3.4,1,3.66,3.55,1.74,2026-03-20 09:35:41,-1.0,-1,3.66,3.55,1.74,1,布里斯班狮吼,惠灵顿凤凰,,,,,,,,,,,,,FB5917,AD1,澳洲職業聯賽,布里斯班獅吼,威靈頓鳳凰,BETRADAR,2026-03-19T19:30:01.589+08:00,1.65,2.17,0.0/-0.5,2026-03-19T19:30:01.589+08:00,2026-03-19T19:30:01.589+08:00,10.0,4.5,3.4,3.7,5.0,8.25,18.0,28.0
2038501,2026-03-21 13:00:00,韩国职业联赛,2026,大田市民,Jeonbuk Hyundai Motors,Selling,周六002,48,周六,2026-03-21,sporttery,2.79,3.15,2.21,2026-03-20 09:35:41,2.79,3.15,2.21,1,1.5,3.85,4.95,2026-03-20 09:35:41,1.0,1,1.5,3.85,4.95,1,,全北现代,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038502,2026-03-21 13:30:00,日本职业联赛,2026,Avispa Fukuoka,Gamba Osaka,Selling,周六003,42,周六,2026-03-21,sporttery,3.2,3.15,2.01,2026-03-20 09:35:41,3.2,3.15,2.01,1,1.61,3.55,4.45,2026-03-20 09:35:41,1.0,1,1.61,3.55,4.45,1,福冈黄蜂,大阪钢巴,,,,,,,,,,,,,FB5924,JV1,日職百年構想聯賽,福岡黃蜂,大阪飛腳,BETRADAR,2026-03-19T19:30:01.589+08:00,1.99,1.78,0.0/+0.5,2026-03-19T19:30:01.589+08:00,2026-03-19T19:30:01.589+08:00,7.75,3.8,3.2,3.9,5.8,10.5,26.0,35.0
2038503,2026-03-21 14:10:00,澳大利亚超级联赛,2026,Melbourne Victory,Central Coast Mariners,Selling,周六004,2,周六,2026-03-21,sporttery,1.34,4.55,6.12,2026-03-20 09:35:41,1.34,4.55,6.12,1,2.05,3.7,2.69,2026-03-20 09:35:41,-1.0,-1,2.05,3.7,2.69,1,墨尔本胜利,中央海岸水手,,,,,,,,,,,,,FB5925,AD1,澳洲職業聯賽,墨爾本勝利,中岸水手,BETRADAR,2026-03-19T19:30:01.589+08:00,1.79,1.98,-1.0/-1.5,2026-03-19T19:30:01.589+08:00,2026-03-19T19:30:01.589+08:00,17.0,6.5,3.95,3.7,4.3,6.2,11.0,13.0
2038504,2026-03-21 17:00:00,女足亚洲杯,2026,日本女足,澳大利亚女足,Selling,周六005,2070739,周六,2026-03-21,sporttery,1.45,3.9,5.45,2026-03-20 13:47:00,1.51,3.8,4.9,4,2.42,3.45,2.35,2026-03-20 13:47:06,-1.0,-1,2.56,3.45,2.23,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038505,2026-03-21 20:00:00,德国乙级联赛,2026,SC Paderborn,德累斯顿,Selling,周六006,34,周六,2026-03-21,sporttery,1.65,3.7,3.95,2026-03-20 09:35:41,1.65,3.7,3.95,1,2.92,3.55,1.98,2026-03-20 09:35:41,-1.0,-1,2.92,3.55,1.98,1,帕德博恩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038507,2026-03-21 21:00:00,西班牙甲级联赛,2026,埃尔切,马洛卡,Selling,周六008,62,周六,2026-03-21,sporttery,1.97,3.18,3.25,2026-03-20 09:35:41,1.97,3.18,3.25,1,4.2,3.55,1.64,2026-03-20 09:35:41,-1.0,-1,4.2,3.55,1.64,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038508,2026-03-21 22:00:00,意大利甲级联赛,2026,Parma,Cremonese,Selling,周六009,40,周六,2026-03-21,sporttery,1.85,3.05,3.85,2026-03-20 09:35:41,1.85,3.05,3.85,1,3.88,3.45,1.72,2026-03-20 09:35:41,-1.0,-1,3.88,3.45,1.72,1,帕尔马,克雷莫纳,,,,,,,,,,,,,FB5979,ISA,意大利甲組聯賽,帕爾馬,克雷莫納,BETRADAR,2026-03-19T19:30:01.589+08:00,1.65,2.17,0.0/-0.5,2026-03-19T19:30:01.589+08:00,2026-03-19T19:30:01.589+08:00,7.0,3.9,3.15,3.9,5.8,11.5,28.0,35.0
2038509,2026-03-21 22:30:00,德国甲级联赛,2026,1. FC Heidenheim,Bayer Leverkusen,Selling,周六010,37,周六,2026-03-21,sporttery,5.1,4.18,1.44,2026-03-20 09:35:41,5.1,4.18,1.44,1,2.35,3.55,2.37,2026-03-20 09:35:41,1.0,1,2.35,3.55,2.37,1,海登海姆,勒沃库森,,,,,,,,,,,,,FB5938,GSL,德國甲組聯賽,海登咸,利華古遜,BETRADAR,2026-03-19T19:30:01.589+08:00,1.87,1.89,+1.0,2026-03-19T19:30:01.589+08:00,2026-03-19T19:30:01.589+08:00,17.0,6.4,4.0,3.65,4.3,6.2,11.0,14.0
2038510,2026-03-21 22:30:00,德国甲级联赛,2026,1. FC Köln,门兴格拉德巴赫,Selling,周六011,37,周六,2026-03-21,sporttery,2.12,3.33,2.8,2026-03-20 09:35:41,2.12,3.33,2.8,1,4.4,3.95,1.54,2026-03-20 09:35:41,-1.0,-1,4.4,3.95,1.54,1,科隆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038511,2026-03-21 22:30:00,德国甲级联赛,2026,VfL Wolfsburg,云达不来梅,Selling,周六012,37,周六,2026-03-21,sporttery,2.3,3.4,2.5,2026-03-20 09:35:41,2.3,3.4,2.5,1,5.05,4.15,1.45,2026-03-20 09:35:41,-1.0,-1,5.05,4.15,1.45,1,沃尔夫斯堡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038513,2026-03-21 23:00:00,英格兰超级联赛,2026,Fulham,Burnley,Selling,周六014,25,周六,2026-03-21,sporttery,1.42,3.95,5.8,2026-03-20 09:35:41,1.42,3.95,5.8,1,2.37,3.4,2.42,2026-03-20 09:35:41,-1.0,-1,2.37,3.4,2.42,1,富勒姆,伯恩利,,,,,,,,,,,,,FB5910,EPL,英格蘭超級聯賽,富咸,般尼,BETRADAR,2026-03-19T19:30:01.589+08:00,1.85,1.91,-1.0,2026-03-19T19:30:01.589+08:00,2026-03-19T19:30:01.589+08:00,11.5,4.95,3.5,3.65,4.85,7.5,15.0,23.0
2038515,2026-03-21 23:15:00,西班牙甲级联赛,2026,西班牙人,赫塔费,Selling,周六016,62,周六,2026-03-21,sporttery,2.38,2.6,3.08,2026-03-20 09:35:41,2.38,2.6,3.08,1,6.2,3.65,1.44,2026-03-20 09:35:41,-1.0,-1,6.2,3.65,1.44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038516,2026-03-21 23:30:00,荷兰甲级联赛,2026,福图纳锡塔德,特温特,Selling,周六017,17,周六,2026-03-21,sporttery,5.8,4.4,1.37,2026-03-20 09:35:41,5.8,4.4,1.37,1,2.55,3.7,2.14,2026-03-20 09:35:41,1.0,1,2.55,3.7,2.14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038517,2026-03-22 00:00:00,法国甲级联赛,2026,Toulouse FC,FC Lorient,Selling,周六018,32,周六,2026-03-21,sporttery,1.87,3.12,3.65,2026-03-20 09:35:41,1.87,3.12,3.65,1,3.9,3.4,1.73,2026-03-20 09:35:41,-1.0,-1,3.9,3.4,1.73,1,图卢兹,洛里昂,,,,,,,,,,,,,FB5940,FFL,法國甲組聯賽,圖盧茲,羅連安特,BETRADAR,2026-03-19T19:30:01.589+08:00,1.71,2.08,0.0/-0.5,2026-03-19T19:30:01.589+08:00,2026-03-19T19:30:01.589+08:00,8.25,4.0,3.25,3.85,5.6,10.0,22.0,30.0
2038518,2026-03-22 01:00:00,意大利甲级联赛,2026,AC Milan,Torino,Selling,周六019,40,周六,2026-03-21,sporttery,1.28,4.5,8.0,2026-03-20 09:35:41,1.28,4.5,8.0,1,1.98,3.45,3.0,2026-03-20 09:35:41,-1.0,-1,1.98,3.45,3.0,1,AC米兰,都灵,,,,,,,,,,,,,FB5978,ISA,意大利甲組聯賽,AC米蘭,拖連奴,BETRADAR,2026-03-19T19:30:01.589+08:00,1.8,1.97,-1.0/-1.5,2026-03-19T19:30:01.589+08:00,2026-03-19T19:30:01.589+08:00,11.5,4.75,3.5,3.65,4.9,7.5,16.0,26.0
2038521,2026-03-22 01:30:00,德国甲级联赛,2026,Borussia Dortmund,Hamburger SV,Selling,周六022,37,周六,2026-03-21,sporttery,1.3,4.7,6.8,2026-03-20 09:35:41,1.3,4.7,6.8,1,1.96,3.65,2.9,2026-03-20 09:35:41,-1.0,-1,1.96,3.65,2.9,1,多特蒙德,汉堡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038520,2026-03-22 01:30:00,英格兰超级联赛,2026,Everton,Chelsea,Selling,周六021,25,周六,2026-03-21,sporttery,3.25,3.25,1.95,2026-03-20 09:35:41,3.25,3.25,1.95,1,1.65,3.7,3.95,2026-03-20 09:35:41,1.0,1,1.65,3.7,3.95,1,埃弗顿,切尔西,,,,,,,,,,,,,FB5913,EPL,英格蘭超級聯賽,愛華頓,車路士,BETRADAR,2026-03-19T19:30:01.589+08:00,1.93,1.83,0.0/+0.5,2026-03-19T19:30:01.589+08:00,2026-03-19T19:30:01.589+08:00,10.0,4.45,3.35,3.75,5.0,8.5,18.0,28.0
2038522,2026-03-22 01:30:00,西班牙甲级联赛,2026,CA Osasuna,Girona FC,Selling,周六023,62,周六,2026-03-21,sporttery,1.88,3.3,3.4,2026-03-20 09:35:41,1.88,3.3,3.4,1,3.8,3.6,1.7,2026-03-20 09:35:41,-1.0,-1,3.8,3.6,1.7,1,奥萨苏纳,赫罗纳,,,,,,,,,,,,,FB5942,SFL,西班牙甲組聯賽,奧沙辛拿,基羅納,BETRADAR,2026-03-19T19:30:01.589+08:00,1.81,1.96,0.0/-0.5,2026-03-19T19:30:01.589+08:00,2026-03-19T19:30:01.589+08:00,8.75,4.15,3.3,3.8,5.4,9.5,20.0,30.0
