match_id,date,league,season,home_team,away_team,home_goals,away_goals,status
1532913,2026-03-19T00:30:00+00:00,Copa Do Brasil,2026,Jacuipense,Novorizontino,0.0,0.0,BT
1494461,2026-03-19T01:00:00+00:00,Liga de Expansión MX,2025,Tlaxcala,Atlante FC,1.0,1.0,2H
1504902,2026-03-19T01:00:00+00:00,Primera Division,2025,Alianza,Cacahuatique,1.0,0.0,2H
1504905,2026-03-19T01:00:00+00:00,Primera Division,2025,Municipal Limeño,Platense,2.0,0.0,2H
1511972,2026-03-19T01:00:00+00:00,Roraimense,2026,Atlético Roraima,Rio Negro RR,1.0,2.0,2H
1528311,2026-03-19T01:00:00+00:00,CONCACAF Champions League,2026,Club America,Philadelphia Union,1.0,1.0,2H
1504903,2026-03-19T01:30:00+00:00,Primera Division,2025,FAS,Hércules,1.0,0.0,2H
1506042,2026-03-19T01:30:00+00:00,Primera A,2026,Deportivo Cali,Santa Fe,0.0,1.0,HT
1515150,2026-03-19T01:30:00+00:00,US Open Cup,2026,New Mexico United,Cruizers,2.0,2.0,HT
1526655,2026-03-19T01:30:00+00:00,Liga Nacional,2025,Real Espana,Génesis,1.0,0.0,HT
1494446,2026-03-19T02:00:00+00:00,Liga de Expansión MX,2025,CDS Tampico Madero,Correcaminos Uat,1.0,0.0,1H
1499201,2026-03-19T02:00:00+00:00,Liga Nacional,2025,Marquense,Cobán Imperial,1.0,1.0,1H
1515151,2026-03-19T02:00:00+00:00,US Open Cup,2026,Sacramento Republic,El Farolito,0.0,0.0,1H
1492543,2026-03-19T02:07:00+00:00,Liga MX,2025,Guadalajara Chivas,Leon,0.0,0.0,1H
1515152,2026-03-19T02:30:00+00:00,US Open Cup,2026,Alta,Valley 559 FC,0.0,0.0,1H
1515153,2026-03-19T02:30:00+00:00,US Open Cup,2026,Orange County SC,Laguna United,0.0,0.0,1H
1515154,2026-03-19T02:30:00+00:00,US Open Cup,2026,Ventura County Fusion,Spokane Velocity,0.0,0.0,1H
1521524,2026-03-19T03:00:00+00:00,CONCACAF Champions League,2026,Toluca,San Diego,,,NS
1528138,2026-03-19T03:00:00+00:00,CONCACAF Champions League,2026,Seattle Sounders,Vancouver Whitecaps,,,NS
1533905,2026-03-19T03:00:00+00:00,Asian Cup Women,2026,Uzbekistan W,Philippines W,,,NS
1508900,2026-03-19T04:00:00+00:00,OFC Pro League,2026,South Island United,Bula,,,NS
1508899,2026-03-19T08:00:00+00:00,OFC Pro League,2026,Solomon Kings,South Melbourne,,,NS
1533881,2026-03-19T09:00:00+00:00,Asian Cup Women,2026,Chinese Taipei W,Korea DPR,,,NS
1507293,2026-03-19T10:00:00+00:00,Liga 3,2026,Saburtalo II,Guria,,,NS
1459051,2026-03-19T10:30:00+00:00,Tercera División RFEF - Group 4,2025,Touring,Añorga,,,NS
1459057,2026-03-19T10:30:00+00:00,Tercera División RFEF - Group 4,2025,Portugalete,Zamudio,,,NS
1461818,2026-03-19T10:30:00+00:00,Tercera División RFEF - Group 13,2025,SFC Minerva,Atlético Pulpileño,,,NS
1527461,2026-03-19T10:30:00+00:00,I-League,2025,Chanmari,Shillong Lajong,,,NS
1391582,2026-03-19T11:00:00+00:00,Premier League,2025,Oleksandria,Dynamo Kyiv,,,NS
1445910,2026-03-19T11:00:00+00:00,Premyer Liqa,2025,Karvan,Zira,,,NS
