match_id,date,league,season,home_team,away_team,status,hkjc_frontend_id,hkjc_tournament_code,hkjc_tournament_name_ch,hkjc_home_team_ch,hkjc_away_team_ch,hkjc_live_event_code,data_source,home_close_odds,draw_close_odds,away_close_odds,hkjc_had_updated_at,home_open_odds,draw_open_odds,away_open_odds,hkjc_ttg_updated_at,hkjc_ttg_0_odds,hkjc_ttg_1_odds,hkjc_ttg_2_odds,hkjc_ttg_3_odds,hkjc_ttg_4_odds,hkjc_ttg_5_odds,hkjc_ttg_6_odds,hkjc_ttg_7plus_odds,hkjc_hdc_home_close_odds,hkjc_hdc_away_close_odds,hkjc_hdc_condition,asian_handicap,hkjc_hdc_updated_at,home_team_raw,away_team_raw
50064869,2026-03-20T01:45:00.000+08:00,UE Conference,2026,AEK Athens FC,Celje,PREEVENT,FB5836,UEF,歐洲協會聯賽,AEK雅典,施捷,BETRADAR,hkjc,1.16,5.8,10.0,2026-03-17T19:30:01.278+08:00,1.16,5.8,10.0,2026-03-17T19:30:01.278+08:00,17.0,6.1,4.0,3.65,4.4,6.3,10.5,14.5,,,,,,AEK Athens,NK Celje
50064403,2026-03-20T01:45:00.000+08:00,UE Cup,2026,Lyon,Celta Vigo,PREEVENT,FB5823,UEC,歐霸盃,里昂,切爾達,BETRADAR,hkjc,1.87,3.25,3.45,2026-03-17T19:30:01.278+08:00,1.87,3.25,3.45,2026-03-17T19:30:01.278+08:00,9.0,4.3,3.35,3.8,5.3,9.25,18.0,25.0,1.75,2.09,0.0/-0.5,-0.25,2026-03-17T19:30:01.278+08:00,,
50064878,2026-03-20T01:45:00.000+08:00,UE Conference,2026,Raków Częstochowa,Fiorentina,PREEVENT,FB5838,UEF,歐洲協會聯賽,捷斯托佐華,費倫天拿,BETRADAR,hkjc,2.5,3.2,2.38,2026-03-17T19:30:01.278+08:00,2.5,3.2,2.38,2026-03-17T19:30:01.278+08:00,9.25,4.1,3.35,3.75,5.4,9.25,19.0,30.0,1.93,1.87,0.0,0.0,2026-03-19T19:37:11.240+08:00,Rakow Czestochowa,
50064777,2026-03-20T01:45:00.000+08:00,UE Conference,2026,AEK Larnaca,Crystal Palace,PREEVENT,FB5833,UEF,歐洲協會聯賽,AEK拉亞拿卡,水晶宮,BETRADAR,hkjc,6.9,3.85,1.37,2026-03-17T19:30:01.278+08:00,6.9,3.85,1.37,2026-03-17T19:30:01.278+08:00,8.25,3.9,3.25,3.85,5.7,10.0,23.0,30.0,1.98,1.82,+1.0,1.0,2026-03-17T19:30:01.278+08:00,,
50064402,2026-03-20T01:45:00.000+08:00,UE Conference,2026,FSV Mainz 05,Sigma Olomouc,PREEVENT,FB5822,UEF,歐洲協會聯賽,緬恩斯,奧洛慕克,BETRADAR,hkjc,1.19,5.0,10.5,2026-03-17T19:30:01.278+08:00,1.19,5.0,10.5,2026-03-17T19:30:01.278+08:00,11.0,4.7,3.5,3.65,4.95,7.75,16.0,26.0,,,,,,Mainz,
50064401,2026-03-20T01:45:00.000+08:00,UE Cup,2026,SC Freiburg,Genk,PREEVENT,FB5821,UEC,歐霸盃,弗賴堡,亨克,BETRADAR,hkjc,1.42,4.05,5.4,2026-03-17T19:30:01.278+08:00,1.42,4.05,5.4,2026-03-17T19:30:01.278+08:00,12.0,5.3,3.6,3.65,4.75,7.0,14.5,19.0,1.92,1.9,-1.0,-1.0,2026-03-17T19:30:01.278+08:00,Freiburg,
50064877,2026-03-20T01:45:00.000+08:00,UE Cup,2026,FC Midtjylland,Nottingham Forest,PREEVENT,FB5837,UEC,歐霸盃,米迪蘭特,諾定咸森林,BETRADAR,hkjc,2.62,3.3,2.23,2026-03-17T19:30:01.278+08:00,2.62,3.3,2.23,2026-03-17T19:30:01.278+08:00,10.0,4.5,3.45,3.7,5.1,8.25,18.0,24.0,2.08,1.76,0.0,0.0,2026-03-17T19:30:01.278+08:00,Midtjylland,
50064883,2026-03-20T03:00:00.000+08:00,Norwegian Cup,2026,Bryne,Brann,PREEVENT,FB5843,NWC,挪威盃,拜尼,白蘭恩,,hkjc,4.7,3.95,1.5,2026-03-17T19:30:01.278+08:00,4.7,3.95,1.5,2026-03-17T19:30:01.278+08:00,14.0,5.7,3.8,3.6,4.45,6.8,12.5,18.0,2.03,1.75,+0.5/+1.0,0.75,2026-03-17T19:30:01.278+08:00,,
50064408,2026-03-20T04:00:00.000+08:00,UE Cup,2026,AS Roma,Bologna,PREEVENT,FB5828,UEC,歐霸盃,羅馬,博洛尼亞,BETRADAR,hkjc,1.55,3.4,5.1,2026-03-17T19:30:01.278+08:00,1.55,3.4,5.1,2026-03-17T19:30:01.278+08:00,7.5,3.95,3.2,3.9,5.9,10.5,24.0,27.0,1.88,1.94,-0.5/-1.0,-0.75,2026-03-17T19:30:01.278+08:00,Roma,
50064436,2026-03-20T04:00:00.000+08:00,UE Cup,2026,FC Porto,VfB Stuttgart,PREEVENT,FB5830,UEC,歐霸盃,波圖,史特加,BETRADAR,hkjc,2.2,3.35,2.63,2026-03-17T19:30:01.278+08:00,2.2,3.35,2.63,2026-03-17T19:30:01.278+08:00,11.0,4.7,3.55,3.7,4.95,7.75,16.0,20.0,2.07,1.77,0.0/-0.5,-0.25,2026-03-17T19:30:01.278+08:00,Porto,Stuttgart
