match_id,date,league,season,home_team,away_team,status,hkjc_frontend_id,hkjc_tournament_code,hkjc_tournament_name_ch,hkjc_home_team_ch,hkjc_away_team_ch,hkjc_live_event_code,data_source,home_close_odds,draw_close_odds,away_close_odds,hkjc_had_updated_at,home_open_odds,draw_open_odds,away_open_odds,hkjc_hdc_home_close_odds,hkjc_hdc_away_close_odds,hkjc_hdc_condition,asian_handicap,hkjc_hdc_updated_at,hkjc_ttg_updated_at,hkjc_ttg_0_odds,hkjc_ttg_1_odds,hkjc_ttg_2_odds,hkjc_ttg_3_odds,hkjc_ttg_4_odds,hkjc_ttg_5_odds,hkjc_ttg_6_odds,hkjc_ttg_7plus_odds,home_team_raw,away_team_raw
50065178,2026-03-20T16:00:00.000+08:00,Women Australian Division 1,2026,Sydney FC Women,Wellington Phoenix Women,PREEVENT,FB5898,AD1W,女子澳洲職業聯賽,FC悉尼女足,威靈頓鳳凰女足,,hkjc,5.0,4.25,1.41,2026-03-19T12:01:07.534+08:00,5.0,4.25,1.41,1.88,1.82,+1.0,1.0,2026-03-19T12:01:07.534+08:00,2026-03-19T12:01:07.534+08:00,16.0,5.9,3.85,3.65,4.25,6.2,10.5,14.0,,
50065179,2026-03-20T16:30:00.000+08:00,Australian NPL - New South Wales,2026,Sydney FC B,UNSW FC,PREEVENT,FB5899,ANS,澳洲全國聯賽 - 新南威爾斯,FC悉尼B隊,新南威爾斯大學FC,,hkjc,1.86,3.65,3.1,2026-03-19T12:01:07.534+08:00,1.86,3.65,3.1,1.74,2.05,0.0/-0.5,-0.25,2026-03-19T12:01:07.534+08:00,2026-03-19T12:01:07.534+08:00,15.0,5.6,3.9,3.65,4.5,6.6,11.5,16.0,,
50064926,2026-03-20T16:30:00.000+08:00,Australian NPL - Victoria,2026,Bentleigh Greens,Green Gully,PREEVENT,FB5890,AVC,澳洲全國聯賽 - 維多利亞,賓特利綠軍,格連古利,,hkjc,2.09,3.35,2.8,2026-03-19T12:01:07.534+08:00,2.09,3.35,2.8,,,,,,2026-03-19T12:01:07.534+08:00,10.0,4.15,3.4,3.7,5.3,8.75,18.0,30.0,,
50064431,2026-03-20T16:35:00.000+08:00,Australian Division 1,2026,Western Sydney Wanderers,Adelaide Utd,PREEVENT,FB5860,AD1,澳洲職業聯賽,西悉尼流浪者,阿德萊德聯,BETRADAR,hkjc,1.74,3.9,3.3,2026-03-19T12:01:07.534+08:00,1.74,3.9,3.3,2.08,1.71,-0.5/-1.0,-0.75,2026-03-19T12:01:07.534+08:00,2026-03-19T12:01:07.534+08:00,22.0,7.0,4.3,3.8,4.15,6.0,9.25,10.0,,
50064927,2026-03-20T16:45:00.000+08:00,Australian NPL - Victoria,2026,Dandenong City,Hume City,PREEVENT,FB5891,AVC,澳洲全國聯賽 - 維多利亞,丹德農城,侯姆城,,hkjc,2.56,3.5,2.19,2026-03-19T12:01:07.534+08:00,2.56,3.5,2.19,1.74,2.05,0.0/+0.5,0.25,2026-03-19T12:01:07.534+08:00,2026-03-19T12:01:07.534+08:00,12.0,4.8,3.65,3.6,4.9,7.25,15.0,23.0,,
50064432,2026-03-20T17:00:00.000+08:00,Women Australian Division 1,2026,Brisbane Roar Women,Newcastle Jets Women,PREEVENT,FB5861,AD1W,女子澳洲職業聯賽,布里斯班獅吼女足,紐卡素噴射機女足,,hkjc,1.93,3.7,2.82,2026-03-19T12:01:07.534+08:00,1.93,3.7,2.82,1.81,1.89,0.0/-0.5,-0.25,2026-03-19T12:01:07.534+08:00,2026-03-19T12:01:07.534+08:00,18.0,6.3,3.95,3.7,4.2,5.9,9.5,12.5,,
50064929,2026-03-20T17:15:00.000+08:00,Australian NPL - Victoria,2026,Oakleigh Cannons,Caroline Springs George Cross,PREEVENT,FB5893,AVC,澳洲全國聯賽 - 維多利亞,奧克萊加農炮,卡羅琳泉佐治十字,,hkjc,1.33,4.6,6.0,2026-03-19T12:01:07.534+08:00,1.33,4.6,6.0,1.92,1.84,-1.0/-1.5,-1.25,2026-03-19T12:01:07.534+08:00,2026-03-19T12:01:07.534+08:00,16.0,5.9,3.9,3.6,4.4,6.5,11.5,16.0,,
50064930,2026-03-20T17:30:00.000+08:00,Australian NPL - Queensland,2026,Eastern Suburbs FC,Gold Coast Knights,PREEVENT,FB5894,AQL,澳洲全國聯賽 - 昆士蘭,布里斯班東區,黃金海岸騎士,,hkjc,2.08,3.95,2.5,2026-03-19T12:01:07.534+08:00,2.08,3.95,2.5,,,,,,2026-03-19T12:01:07.534+08:00,23.0,8.0,4.65,3.9,4.1,5.6,8.0,9.0,,
50064928,2026-03-20T17:30:00.000+08:00,Australian NPL - Queensland,2026,Peninsula Power,Gold Coast Utd,PREEVENT,FB5892,AQL,澳洲全國聯賽 - 昆士蘭,半島電力,黃金海岸聯,,hkjc,1.28,5.1,6.3,2026-03-19T12:01:07.534+08:00,1.28,5.1,6.3,1.78,1.99,-1.0/-1.5,-1.25,2026-03-19T12:01:07.534+08:00,2026-03-19T12:01:07.534+08:00,21.0,7.5,4.4,3.75,4.15,5.8,9.25,10.0,,
50064925,2026-03-20T17:30:00.000+08:00,Australian NPL - Victoria,2026,Preston Lions,Avondale,PREEVENT,FB5889,AVC,澳洲全國聯賽 - 維多利亞,普雷斯頓雄獅,艾雲達爾,,hkjc,2.05,3.55,2.75,2026-03-19T12:01:07.534+08:00,2.05,3.55,2.75,1.9,1.86,0.0/-0.5,-0.25,2026-03-19T12:01:07.534+08:00,2026-03-19T12:01:07.534+08:00,12.5,4.95,3.7,3.65,4.75,7.0,14.5,21.0,,
